date,total_call_oi,total_put_oi,total_call_vol,total_put_vol,pc_oi_ratio,pc_vol_ratio,max_pain_strike,dealer_call_net,dealer_put_net,oi_hhi,top3_oi_share,d_pc_oi_ratio,d_pc_vol_ratio,d_total_call_oi,d_total_put_oi,d_dealer_call_net,d_dealer_put_net,d_oi_hhi,open,high,low,close,vwap,n_ticks,total_vol,ret_1d,ret_2d,ret_1d_pts,max_pain_dist,max_pain_dist_pct
2026-02-05,138944,179122,374439,320858,1.2891668585905114,0.8569032606112077,33000,-23070,-29821,0.012725854615055335,0.09948878534643753,-0.17826689394223028,-0.18523974352030415,-37742.0,-80153.0,948.0,5538.0,-0.000677377055870669,31760.0,32166.0,31701.0,31857.0,31919.861538461537,120,130,0.02708980757761248,0.05151144175534417,863.0,-1143.0,-0.035879084659572465
2026-02-06,199167,229791,742413,707732,1.153760412116465,0.9532861089447517,33000,-26977,-31151,0.01312947946795391,0.09862037775260049,-0.13540644647404632,0.09638284833354405,60223.0,50669.0,-3907.0,-1330.0,0.0004036248528985747,31633.0,32720.0,31400.0,32720.0,31930.74780058651,532,682,0.023777506112469426,0.03633863080684607,778.0,-280.0,-0.008557457212713936
2026-02-10,125380,214123,348731,353695,1.7077923113734248,1.01423446725413,33000,-6720,-11574,0.012203899779380266,0.0945529200036524,0.2127739621589,-0.009778187823897833,1124.0,28358.0,9590.0,12926.0,-0.00011217674769806868,33620.0,33620.0,33433.0,33498.0,33512.06060606061,56,66,0.012269389217266724,0.01809063227655372,411.0,498.0,0.014866559197564034
2026-02-11,152882,296371,665706,628234,1.9385604583927474,0.9437108873887271,33000,7299,14310,0.012242928464902141,0.08885861641435895,0.23076814701932258,-0.07052357986540281,27502.0,82248.0,14019.0,25884.0,3.9028685521875356e-05,33926.0,33926.0,33909.0,33909.0,33920.97959183674,54,98,0.005750685658674648,0.04202424135185345,195.0,909.0,0.0268070423781297
2026-02-23,162001,245680,399900,394595,1.5165338485564903,0.9867341835458865,34000,2987,4564,0.01178407318836597,0.09525339665081277,-0.42202660983625706,0.043023296157159385,9119.0,-50691.0,-4312.0,-9746.0,-0.00045885527653617177,34601.0,34602.0,33939.0,34104.0,34228.11015384615,1497,1625,0.03606615059817031,0.04286887168660569,1230.0,104.0,0.0030494956603330987
2026-02-24,77307,136375,355472,425185,1.7640705240146428,1.1961138992663276,34000,-4924,-8765,0.012503858299629795,0.08009097631059238,0.2475366754581525,0.20937971572044112,-84694.0,-109305.0,-7911.0,-13329.0,0.0007197851112638251,34212.0,35456.0,34201.0,35334.0,34881.27350023618,1807,2117,0.00656591385068217,-0.003820682628629668,232.0,1334.0,0.03775400464142186
2026-02-25,116054,212604,679446,684491,1.8319403036517483,1.0074251669742702,35300,-3338,-6217,0.012710584125502397,0.08909261298979486,0.0678697796371055,-0.1886887322920574,38747.0,76229.0,1586.0,2548.0,0.00020672582587260256,35345.0,35861.0,35186.0,35566.0,35535.61317677756,1330,1533,-0.010318843839622116,-0.050160265422032224,-367.0,266.0,0.007479053028172974
2026-02-26,85849,132163,218183,206923,1.539482113944251,0.9483919462102913,32000,215,331,0.010229242890501346,0.07818376970075042,-0.2924581897074974,-0.05903322076397888,-30205.0,-80441.0,3553.0,6548.0,-0.0024813412350010514,35838.0,35890.0,35026.0,35199.0,35379.40491958373,849,1057,-0.04025682547799658,-0.06667803062587008,-1417.0,3199.0,0.09088326372908322
2026-03-19,82304,90186,270656,256035,1.0957669129082426,0.9459793982028848,35000,-9006,-9862,0.012825227296841886,0.08940228419038784,-0.3544022610666988,-0.10579866742226085,-79955.0,-145117.0,-703.0,2259.0,0.0017620116735679453,33390.0,33809.0,32856.0,33782.0,33251.068349082576,60708,88999,-0.027529453555147687,-0.04490557101414949,-930.0,-1218.0,-0.03605470368835474
2026-03-20,125585,133740,537823,580199,1.064936099056416,1.0787917214399534,33500,-2170,-2302,0.013055766694914418,0.09124843343295093,-0.03083081385182651,0.1328123232370686,43281.0,43554.0,6836.0,7560.0,0.00023053939807253163,32959.0,33073.0,32813.0,32852.0,32950.53888180659,10834,16473,-0.017868014123949783,0.011079995129672504,-587.0,-648.0,-0.019724826494581762
2026-03-23,77920,85779,172952,163669,1.1008598562628338,0.9463261482954808,32000,-4662,-5159,0.013488777846612085,0.10154002162505574,0.03592375720641772,-0.1324655731444726,-47665.0,-47961.0,-2492.0,-2857.0,0.0004330111516976671,32739.0,32890.0,32138.0,32265.0,32591.968513853903,18443,26996,0.029474662947466257,0.01679838834650549,951.0,265.0,0.008213234154656749
