date,total_call_oi,total_put_oi,total_call_vol,total_put_vol,pc_oi_ratio,pc_vol_ratio,max_pain_strike,dealer_call_net,dealer_put_net,oi_hhi,top3_oi_share,d_pc_oi_ratio,d_pc_vol_ratio,d_total_call_oi,d_total_put_oi,d_dealer_call_net,d_dealer_put_net,d_oi_hhi
2026-01-02,106033,173103,390990,414690,1.632538926560599,1.0606153610066753,29300,-7425,-12173,0.0207183079590419,0.14282643585922275,,,,,,,
2026-01-05,98007,159167,376262,433266,1.6240370585774486,1.151500815920821,30000,-3249,-5322,0.014481299248808727,0.09847029637521677,-0.008501867983150335,0.09088545491414579,-8026.0,-13936.0,4176.0,6851.0,-0.006237008710233173
2026-01-06,116461,180618,321918,346412,1.550888280196804,1.076087699352009,30000,-9806,-15266,0.0143177136416103,0.10227582562214091,-0.0731487783806446,-0.07541311656881211,18454.0,21451.0,-6557.0,-9944.0,-0.00016358560719842603
2026-01-07,177301,224275,556404,530415,1.2649392840423912,0.9532911337804905,30500,-21645,-27385,0.017361328632554313,0.12981851505070024,-0.2859489961544128,-0.12279656557151852,60840.0,43657.0,-11839.0,-12119.0,0.0030436149909440127
2026-01-08,114134,144213,287623,271411,1.263541100811327,0.9436345493927816,30000,-10729,-13560,0.01288446494167604,0.08622898659554785,-0.0013981832310641096,-0.009656584387708889,-63167.0,-80062.0,10916.0,13825.0,-0.004476863690878274
2026-01-09,170978,183026,595028,542701,1.0704652060499011,0.9120596005566125,30500,-17613,-18812,0.015556552073124135,0.10705528751087558,-0.19307589476142595,-0.03157494883616907,56844.0,38813.0,-6884.0,-5252.0,0.0026720871314480955
2026-01-12,122879,158093,235063,265898,1.286574597775047,1.1311775991968112,31800,-10096,-13039,0.013531758350837884,0.10879731788220891,0.21610939172514576,0.21911799864019865,-48099.0,-24933.0,7517.0,5773.0,-0.0020247937222862503
2026-01-13,143702,177702,388802,404270,1.2366007432046875,1.039783745968385,31800,-14315,-17672,0.013675058389062758,0.10761533770581573,-0.04997385457035941,-0.09139385322842619,20823.0,19609.0,-4219.0,-4633.0,0.00014330003822487364
2026-01-14,184424,227179,464702,483555,1.2318299136771786,1.0405700857754,31800,-28770,-35452,0.014967780209890364,0.10409545119933528,-0.004770829527508846,0.0007863398070151462,40722.0,49477.0,-14455.0,-17780.0,0.0012927218208276057
2026-01-15,126344,150382,257265,227238,1.1902583423035522,0.8832837735409014,30000,-9261,-11020,0.011926968586772982,0.09023727441584817,-0.04157157137362644,-0.15728631223449874,-58080.0,-76797.0,19509.0,24432.0,-0.0030408116231173815
2026-01-16,168725,226371,556054,534362,1.341656541709883,0.9609894003100419,32000,-22414,-30106,0.014226483706870036,0.09338742989045701,0.1513981994063307,0.0777056267691405,42381.0,75989.0,-13153.0,-19086.0,0.002299515120097054
2026-01-19,117989,177172,275524,278095,1.5015976065565435,1.0093313105210435,31000,-8044,-12138,0.011493697933985712,0.08879899444709836,0.1599410648466606,0.04834191021100165,-50736.0,-49199.0,14370.0,17968.0,-0.002732785772884324
2026-01-20,134149,199152,266418,298747,1.4845582151190095,1.1213469059898356,31000,-8833,-13185,0.011441814297317646,0.08636337724759302,-0.01703939143753397,0.11201559546879203,16160.0,21980.0,-789.0,-1047.0,-5.188363666806632e-05
2026-01-21,227048,229442,765873,747057,1.0105440259328424,0.9754319580400406,32000,-42628,-43037,0.013936445037421245,0.09502070143924292,-0.4740141891861671,-0.14591494794979498,92899.0,30290.0,-33795.0,-29852.0,0.0024946307401035994
2026-01-22,112140,157993,319122,364061,1.4088906723738184,1.1408207519381302,32400,-12064,-17058,0.013560051306603734,0.11131923904150919,0.39834664644097595,0.16538879389808958,-114908.0,-71449.0,30564.0,25979.0,-0.0003763937308175116
2026-01-23,144915,214117,456806,484834,1.477535106786737,1.0613564620429679,32000,-27839,-41207,0.016202519598065925,0.12804151162013414,0.06864443441291868,-0.0794642898951623,32775.0,56124.0,-15775.0,-24149.0,0.0026424682914621914
2026-01-26,94532,162390,197599,209291,1.7178309990267846,1.05917033993087,32000,-13060,-22575,0.011651927662697768,0.08572640723643751,0.24029589224004755,-0.002186122112097788,-50383.0,-51727.0,14779.0,18632.0,-0.004550591935368158
2026-01-27,111579,188183,242730,297179,1.686544959176906,1.2243192024059655,32000,-10721,-18167,0.012346904339573795,0.08499743129549442,-0.031286039849878655,0.16514886247509541,17047.0,25793.0,2339.0,4408.0,0.0006949766768760274
2026-01-28,146516,248428,429916,456562,1.6955690846050944,1.0619795494933895,32700,-16385,-27890,0.015406587118083938,0.11678617728082968,0.009024125428188423,-0.16233965291257602,34937.0,60245.0,-5664.0,-9723.0,0.003059682778510143
2026-01-29,123273,165889,343564,297434,1.3457042499168512,0.8657309846200417,32000,-15361,-20712,0.012261621568334082,0.09486723705051148,-0.34986483468824314,-0.19624856487334774,-23243.0,-82539.0,1024.0,7178.0,-0.0031449655497498563
