fill_id,date,fill_ts,side,fill_price_pts,spread_at_fill,signed_flow_10tick,book_imbalance_l1,mid_at_fill_pts,mae_30,drift_t5,drift_t10,drift_t20,drift_t30,drift_t50,drift_t100
1,2026-02-04,1770163203372000000,BUY,32334.0,8.0,-1,0.0476,32338.0,38.5,0.0,-7.0,-38.5,-47.0,-68.0,-112.5
1,2026-02-23,1771806695100000000,BUY,34258.0,27.0,-1,0.5,34271.5,15.0,-10.0,-10.0,0.0,-15.0,-7.5,-2.5
1,2026-02-24,1771893010000000000,BUY,34100.0,90.0,-2,0.5,34145.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.0
1,2026-02-25,1771979425000000000,SELL,35350.0,12.0,5,0.3333,35344.0,0.0,0.0,0.0,0.0,0.0,-1.5,-21.0
1,2026-03-19,1773913883056999936,BUY,33292.0,3.0,0,0.6667,33293.5,3.0,-0.5,-0.5,0.0,-0.5,6.5,12.5
1,2026-03-20,1773966640000000000,SELL,33800.0,27.0,6,0.4167,33786.5,13.0,0.0,0.0,-3.5,-2.5,-1.0,5.0
2,2026-03-20,1773969060656000000,BUY,33800.0,5.0,1,0.5714,33802.5,10.5,-3.5,-4.0,-3.5,-6.0,-19.5,-22.5
3,2026-03-20,1773970314210000128,BUY,33642.0,4.0,-2,0.4,33644.0,7.0,-6.0,-1.5,4.0,2.0,1.5,-3.5
4,2026-03-20,1773972125407000064,SELL,33607.0,5.0,6,0.5,33604.5,0.0,0.5,6.5,3.5,5.5,12.5,26.5
5,2026-03-20,1774024613608999936,SELL,32855.0,3.0,4,0.6667,32853.5,4.0,-0.5,-1.0,-1.5,-4.0,4.5,-6.0
1,2026-03-23,1774225850000000000,BUY,32700.0,24.0,4,0.8571,32712.0,76.0,-22.0,-22.0,-22.0,-65.0,-110.0,-113.5
2,2026-03-23,1774226550000000000,BUY,32560.0,5.0,-6,0.9231,32562.5,13.0,-3.0,-6.0,-7.0,-12.0,-13.5,-45.0
3,2026-03-23,1774229576503000064,BUY,32603.0,3.0,0,0.6,32604.5,12.0,-2.5,-4.5,-4.5,-12.0,-22.0,-23.5
4,2026-03-23,1774230215644000000,SELL,32716.0,3.0,6,0.6667,32714.5,0.0,7.5,9.0,6.5,15.5,17.0,26.0
