date,strike,expiry,cp,total_oi,settlement_price,volume,dealer_long_oi,dealer_short_oi,dealer_net_oi,dealer_fraction
2026-02-09,28400,202602W2,P,1120,0.5,1423,72642,94980,-149,-0.133264
2026-02-09,28500,202602W2,P,326,0.5,289,72642,94980,-43,-0.133264
2026-02-09,28600,202602W2,P,156,0.5,387,72642,94980,-20,-0.133264
2026-02-09,28700,202602W2,P,109,0.6,343,72642,94980,-14,-0.133264
2026-02-09,28800,202602W2,P,134,0.6,256,72642,94980,-17,-0.133264
2026-02-09,28900,202602W2,P,208,0.7,269,72642,94980,-27,-0.133264
2026-02-09,29000,202602W2,P,3100,0.7,1237,72642,94980,-413,-0.133264
2026-02-09,29100,202602W2,P,370,0.7,488,72642,94980,-49,-0.133264
2026-02-09,29200,202602W2,P,347,0.9,548,72642,94980,-46,-0.133264
2026-02-09,29300,202602W2,P,326,0.9,610,72642,94980,-43,-0.133264
2026-02-09,29400,202602W2,P,418,0.9,771,72642,94980,-55,-0.133264
2026-02-09,29500,202602W2,P,537,1.1,1102,72642,94980,-71,-0.133264
2026-02-09,29600,202602W2,P,458,1.2,948,72642,94980,-61,-0.133264
2026-02-09,29700,202602W2,P,438,1.2,886,72642,94980,-58,-0.133264
2026-02-09,29800,202602W2,P,766,1.3,1027,72642,94980,-102,-0.133264
2026-02-09,29900,202602W2,P,682,1.5,1061,72642,94980,-90,-0.133264
2026-02-09,30000,202602W2,C,5,2600.0,4,72642,94980,0,-0.133264
2026-02-09,30000,202602W2,P,2772,1.6,4637,72642,94980,-369,-0.133264
2026-02-09,30100,202602W2,P,377,1.6,1612,72642,94980,-50,-0.133264
2026-02-09,30200,202602W2,P,645,1.7,2394,72642,94980,-85,-0.133264
2026-02-09,30300,202602W2,P,600,1.9,2598,72642,94980,-79,-0.133264
2026-02-09,30400,202602W2,P,704,2.0,2484,72642,94980,-93,-0.133264
2026-02-09,30500,202602W2,P,1773,2.1,5795,72642,94980,-236,-0.133264
2026-02-09,30600,202602W2,C,1,2000.0,1,72642,94980,0,-0.133264
2026-02-09,30600,202602W2,P,704,2.5,3378,72642,94980,-93,-0.133264
2026-02-09,30700,202602W2,C,2,1900.0,17,72642,94980,0,-0.133264
2026-02-09,30700,202602W2,P,856,2.8,3008,72642,94980,-114,-0.133264
2026-02-09,30750,202602W2,C,2,1850.0,0,72642,94980,0,-0.133264
2026-02-09,30750,202602W2,P,292,3.1,1234,72642,94980,-38,-0.133264
2026-02-09,30800,202602W2,C,11,1800.0,37,72642,94980,-1,-0.133264
2026-02-09,30800,202602W2,P,1240,3.1,4600,72642,94980,-165,-0.133264
2026-02-09,30850,202602W2,P,195,3.3,1185,72642,94980,-25,-0.133264
2026-02-09,30900,202602W2,C,1,1700.0,1,72642,94980,0,-0.133264
2026-02-09,30900,202602W2,P,506,3.5,2781,72642,94980,-67,-0.133264
2026-02-09,30950,202602W2,P,728,3.6,3268,72642,94980,-97,-0.133264
2026-02-09,31000,202602W2,C,11,1600.0,27,72642,94980,-1,-0.133264
2026-02-09,31000,202602W2,P,3268,4.0,9430,72642,94980,-435,-0.133264
2026-02-09,31050,202602W2,C,1,1560.0,2,72642,94980,0,-0.133264
2026-02-09,31050,202602W2,P,846,4.2,2373,72642,94980,-112,-0.133264
2026-02-09,31100,202602W2,C,10,1510.0,7,72642,94980,-1,-0.133264
2026-02-09,31100,202602W2,P,1375,4.8,5018,72642,94980,-183,-0.133264
2026-02-09,31150,202602W2,C,2,1460.0,4,72642,94980,0,-0.133264
2026-02-09,31150,202602W2,P,413,5.4,2077,72642,94980,-55,-0.133264
2026-02-09,31200,202602W2,C,91,1410.0,50,72642,94980,-12,-0.133264
2026-02-09,31200,202602W2,P,1253,6.0,5692,72642,94980,-166,-0.133264
2026-02-09,31250,202602W2,C,9,1360.0,16,72642,94980,-1,-0.133264
2026-02-09,31250,202602W2,P,573,6.9,2703,72642,94980,-76,-0.133264
2026-02-09,31300,202602W2,C,84,1310.0,259,72642,94980,-11,-0.133264
2026-02-09,31300,202602W2,P,1349,7.1,5962,72642,94980,-179,-0.133264
2026-02-09,31350,202602W2,C,39,1260.0,94,72642,94980,-5,-0.133264
2026-02-09,31350,202602W2,P,399,8.0,2223,72642,94980,-53,-0.133264
2026-02-09,31400,202602W2,C,84,1210.0,241,72642,94980,-11,-0.133264
2026-02-09,31400,202602W2,P,1691,9.1,6102,72642,94980,-225,-0.133264
2026-02-09,31450,202602W2,C,60,1160.0,37,72642,94980,-7,-0.133264
2026-02-09,31450,202602W2,P,782,10.0,2862,72642,94980,-104,-0.133264
2026-02-09,31500,202602W2,C,132,1110.0,586,72642,94980,-17,-0.133264
2026-02-09,31500,202602W2,P,2879,11.5,11593,72642,94980,-383,-0.133264
2026-02-09,31550,202602W2,C,87,1060.0,210,72642,94980,-11,-0.133264
2026-02-09,31550,202602W2,P,748,13.0,4011,72642,94980,-99,-0.133264
2026-02-09,31600,202602W2,C,529,1020.0,628,72642,94980,-70,-0.133264
2026-02-09,31600,202602W2,P,3064,15.0,9291,72642,94980,-408,-0.133264
2026-02-09,31650,202602W2,C,135,970.0,455,72642,94980,-17,-0.133264
2026-02-09,31650,202602W2,P,1042,16.5,4878,72642,94980,-138,-0.133264
2026-02-09,31700,202602W2,C,159,920.0,544,72642,94980,-21,-0.133264
2026-02-09,31700,202602W2,P,2285,19.0,8507,72642,94980,-304,-0.133264
2026-02-09,31750,202602W2,C,224,870.0,592,72642,94980,-29,-0.133264
2026-02-09,31750,202602W2,P,707,22.0,4184,72642,94980,-94,-0.133264
2026-02-09,31800,202602W2,C,424,820.0,2327,72642,94980,-56,-0.133264
2026-02-09,31800,202602W2,P,4848,25.0,15048,72642,94980,-646,-0.133264
2026-02-09,31850,202602W2,C,162,780.0,778,72642,94980,-21,-0.133264
2026-02-09,31850,202602W2,P,1032,28.5,4507,72642,94980,-137,-0.133264
2026-02-09,31900,202602W2,C,291,730.0,1325,72642,94980,-38,-0.133264
2026-02-09,31900,202602W2,P,1726,33.0,6514,72642,94980,-230,-0.133264
2026-02-09,31950,202602W2,C,122,690.0,738,72642,94980,-16,-0.133264
2026-02-09,31950,202602W2,P,751,37.5,3254,72642,94980,-100,-0.133264
2026-02-09,32000,202602W2,C,570,640.0,4380,72642,94980,-75,-0.133264
2026-02-09,32000,202602W2,P,3373,43.5,13459,72642,94980,-449,-0.133264
2026-02-09,32050,202602W2,C,197,595.0,1124,72642,94980,-26,-0.133264
2026-02-09,32050,202602W2,P,828,49.0,3591,72642,94980,-110,-0.133264
2026-02-09,32100,202602W2,C,742,555.0,3426,72642,94980,-98,-0.133264
2026-02-09,32100,202602W2,P,1785,57.0,6170,72642,94980,-237,-0.133264
2026-02-09,32150,202602W2,C,289,520.0,1934,72642,94980,-38,-0.133264
2026-02-09,32150,202602W2,P,537,66.0,3392,72642,94980,-71,-0.133264
2026-02-09,32200,202602W2,C,496,472.0,4335,72642,94980,-66,-0.133264
2026-02-09,32200,202602W2,P,1895,76.0,8577,72642,94980,-252,-0.133264
2026-02-09,32250,202602W2,C,276,434.0,3161,72642,94980,-36,-0.133264
2026-02-09,32250,202602W2,P,689,86.0,4157,72642,94980,-91,-0.133264
2026-02-09,32300,202602W2,C,745,396.0,6522,72642,94980,-99,-0.133264
2026-02-09,32300,202602W2,P,1021,99.0,6650,72642,94980,-136,-0.133264
2026-02-09,32350,202602W2,C,389,360.0,2951,72642,94980,-51,-0.133264
2026-02-09,32350,202602W2,P,734,114.0,4004,72642,94980,-97,-0.133264
2026-02-09,32400,202602W2,C,1125,325.0,8361,72642,94980,-149,-0.133264
2026-02-09,32400,202602W2,P,1346,127.0,6727,72642,94980,-179,-0.133264
2026-02-09,32450,202602W2,C,349,292.0,4757,72642,94980,-46,-0.133264
2026-02-09,32450,202602W2,P,511,145.0,4146,72642,94980,-68,-0.133264
2026-02-09,32500,202602W2,C,1767,257.0,15294,72642,94980,-235,-0.133264
2026-02-09,32500,202602W2,P,1725,165.0,9642,72642,94980,-229,-0.133264
2026-02-09,32550,202602W2,C,847,230.0,8346,72642,94980,-112,-0.133264
2026-02-09,32550,202602W2,P,551,188.0,3476,72642,94980,-73,-0.133264
2026-02-09,32600,202602W2,C,2095,202.0,14399,72642,94980,-279,-0.133264
2026-02-09,32600,202602W2,P,891,207.0,4966,72642,94980,-118,-0.133264
2026-02-09,32650,202602W2,C,880,176.0,8459,72642,94980,-117,-0.133264
2026-02-09,32650,202602W2,P,262,233.0,1818,72642,94980,-34,-0.133264
2026-02-09,32700,202602W2,C,2601,154.0,16442,72642,94980,-346,-0.133264
2026-02-09,32700,202602W2,P,409,257.0,2206,72642,94980,-54,-0.133264
2026-02-09,32750,202602W2,C,838,132.0,7298,72642,94980,-111,-0.133264
2026-02-09,32750,202602W2,P,157,287.0,843,72642,94980,-20,-0.133264
2026-02-09,32800,202602W2,C,2288,113.0,16661,72642,94980,-304,-0.133264
2026-02-09,32800,202602W2,P,264,317.0,1288,72642,94980,-35,-0.133264
2026-02-09,32850,202602W2,C,1072,95.0,8325,72642,94980,-142,-0.133264
2026-02-09,32850,202602W2,P,53,349.0,320,72642,94980,-7,-0.133264
2026-02-09,32900,202602W2,C,2933,80.0,13213,72642,94980,-390,-0.133264
2026-02-09,32900,202602W2,P,180,387.0,514,72642,94980,-23,-0.133264
2026-02-09,32950,202602W2,C,1314,66.0,6601,72642,94980,-175,-0.133264
2026-02-09,32950,202602W2,P,15,420.0,79,72642,94980,-1,-0.133264
2026-02-09,33000,202602W2,C,8683,54.0,23849,72642,94980,-1157,-0.133264
2026-02-09,33000,202602W2,P,79,458.0,355,72642,94980,-10,-0.133264
2026-02-09,33050,202602W2,C,1546,45.5,5304,72642,94980,-206,-0.133264
2026-02-09,33050,202602W2,P,30,494.0,47,72642,94980,-3,-0.133264
2026-02-09,33100,202602W2,C,3015,36.5,10437,72642,94980,-401,-0.133264
2026-02-09,33100,202602W2,P,25,540.0,42,72642,94980,-3,-0.133264
2026-02-09,33150,202602W2,C,1639,29.0,4656,72642,94980,-218,-0.133264
2026-02-09,33150,202602W2,P,9,580.0,11,72642,94980,-1,-0.133264
2026-02-09,33200,202602W2,C,2904,23.0,8869,72642,94980,-386,-0.133264
2026-02-09,33200,202602W2,P,8,615.0,17,72642,94980,-1,-0.133264
2026-02-09,33250,202602W2,C,1310,18.5,3922,72642,94980,-174,-0.133264
2026-02-09,33250,202602W2,P,7,665.0,9,72642,94980,0,-0.133264
2026-02-09,33300,202602W2,C,2366,13.5,6997,72642,94980,-315,-0.133264
2026-02-09,33300,202602W2,P,6,715.0,10,72642,94980,0,-0.133264
2026-02-09,33350,202602W2,C,1675,11.0,3089,72642,94980,-223,-0.133264
2026-02-09,33350,202602W2,P,6,760.0,6,72642,94980,0,-0.133264
2026-02-09,33400,202602W2,C,1948,8.7,4331,72642,94980,-259,-0.133264
2026-02-09,33400,202602W2,P,7,805.0,6,72642,94980,0,-0.133264
2026-02-09,33450,202602W2,C,1437,6.4,3005,72642,94980,-191,-0.133264
2026-02-09,33500,202602W2,C,2301,5.0,2693,72642,94980,-306,-0.133264
2026-02-09,33550,202602W2,C,355,4.0,782,72642,94980,-47,-0.133264
2026-02-09,33600,202602W2,C,421,3.2,629,72642,94980,-56,-0.133264
2026-02-09,33650,202602W2,C,209,2.4,286,72642,94980,-27,-0.133264
2026-02-09,33700,202602W2,C,412,2.2,452,72642,94980,-54,-0.133264
2026-02-09,33750,202602W2,C,118,1.8,156,72642,94980,-15,-0.133264
2026-02-09,33800,202602W2,C,1274,1.4,1460,72642,94980,-169,-0.133264
2026-02-09,33900,202602W2,C,792,1.1,582,72642,94980,-105,-0.133264
2026-02-09,34000,202602W2,C,2109,1.0,407,72642,94980,-281,-0.133264
2026-02-09,34000,202602W2,P,1,1400.0,0,72642,94980,0,-0.133264
2026-02-09,34100,202602W2,C,315,0.7,28,72642,94980,-41,-0.133264
2026-02-09,34200,202602W2,C,77,0.6,25,72642,94980,-10,-0.133264
2026-02-09,34300,202602W2,C,70,0.6,18,72642,94980,-9,-0.133264
2026-02-09,34400,202602W2,C,45,0.2,5,72642,94980,-5,-0.133264
2026-02-09,34500,202602W2,C,958,0.1,618,72642,94980,-127,-0.133264
