date,n_strikes,total_oi,dealer_net,dealer_frac
2026-01-02,1194,279136,-6939,-0.072
2026-01-05,1226,257174,-4925,-0.03530035766250708
2026-01-06,1311,297079,-13338,-0.08636363636363636
2026-01-07,1393,401576,-14434,-0.12373131257714991
2026-01-08,1259,258347,-13665,-0.09615452274566372
2026-01-09,1340,354004,-13767,-0.10451001677686766
2026-01-12,1218,280972,-13657,-0.08424474588399307
2026-01-13,1257,321404,-17967,-0.1011433300119906
2026-01-14,1350,411603,-20195,-0.1575481928180804
2026-01-15,1224,276726,-11718,-0.07524271844660194
2026-01-16,1358,395096,-18105,-0.13454464385241333
2026-01-19,1273,295161,-11383,-0.07028148404265172
2026-01-20,1304,333301,-12061,-0.06771619944865842
2026-01-21,1389,456490,-20869,-0.1891318730118451
2026-01-22,1217,270133,-16518,-0.10985050010640562
2026-01-23,1326,359032,-23436,-0.19406767029363542
2026-01-26,1238,256922,-20203,-0.1409377245425436
2026-01-27,1292,299762,-14936,-0.09828384923141714
2026-01-28,1436,394944,-14004,-0.11369651700901194
2026-01-29,1352,289162,-19706,-0.12681639745157347
2026-01-30,1402,410796,-13374,-0.0931077694235589
2026-02-02,1283,321264,-20484,-0.11385186584999833
2026-02-03,1299,357291,-14542,-0.07542531120331951
2026-02-04,1329,435961,-19447,-0.13762428788790207
2026-02-05,1182,318066,-29188,-0.16798462193676117
2026-02-06,1222,428958,-18939,-0.13681381791387642
2026-02-09,1084,310021,-22338,-0.133264130006801
2026-02-10,1102,339503,-9855,-0.055259306609248576
2026-02-11,1262,449253,7330,0.049238912847796
2026-02-23,1402,407681,1551,0.019701993064288707
2026-02-24,1237,213682,-7585,-0.06658239626401215
2026-02-25,1505,328658,-2991,-0.03077318792118936
2026-02-26,1448,218012,543,0.0038960200325744584
2026-03-02,1562,352305,1250,0.009865201881491302
2026-03-03,1478,274109,-6381,-0.04098871381128876
2026-03-04,1576,409509,-13887,-0.12053536554669259
2026-03-05,1493,247998,-10888,-0.07703410216499222
2026-03-06,1565,353595,-8085,-0.073650649054885
2026-03-09,1454,246127,-10247,-0.07001564709982029
2026-03-10,1559,297643,138,0.0008020644441344678
2026-03-11,1669,409609,-1116,-0.008887897805103373
2026-03-12,1458,242355,-5401,-0.03656612843167124
2026-03-13,1542,344219,-2023,-0.014795474325500435
2026-03-16,1375,262173,-4172,-0.024570950681413947
2026-03-17,1424,297890,4815,0.025271212860764277
2026-03-18,1584,397562,-3536,-0.05291828793774319
2026-03-19,1273,172490,-11133,-0.11249658963450987
2026-03-20,1354,259325,-1399,-0.019033754642793974
2026-03-23,1246,163699,-5762,-0.0629286619195317
2026-03-24,1311,205788,-4568,-0.04240308926184465
2026-03-25,1430,293944,-4444,-0.06364209199747953
2026-03-26,1314,167091,-2570,-0.026617781092054024
2026-03-27,1382,258441,-4292,-0.05825506270698735
2026-03-30,1303,170030,-5782,-0.061569587903311684
2026-03-31,1382,208714,-11128,-0.10005394713181083
2026-04-01,1492,293873,3212,0.03955177933752001
2026-04-02,1359,175355,-1885,-0.017727995184756744
