contract,trading_day,pair_id,or_start,or_end,bbo_first_time,bbo_last_time,coverage_status,or_high,or_low,or_width,post_or_high,post_or_low,max_upside_break_pts,max_downside_break_pts,first_up_break_time,first_down_break_time,break_side,break_magnitude_pts,break_magnitude_vs_or_width,break_magnitude_vs_prior_realized_vol,vwap_side_at_break,reverted_to_or,time_above_or_high,time_below_or_low,event_selected_by_v0,persistent_after_break,realized_vol_ratio
TXFB6,2026-01-26,TXFB6->TMFB6,2026-01-26T00:45:00+00:00,2026-01-26T01:15:00+00:00,2026-01-26T13:18:46.410315+00:00,2026-01-26T20:58:49.166634+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFB6,2026-01-27,TXFB6->TMFB6,2026-01-27T00:45:00+00:00,2026-01-27T01:15:00+00:00,2026-01-27T00:30:05.008508+00:00,2026-01-27T20:58:58.279984+00:00,ok,32348.5,32245.0,103.5,32311.5,32212.5,0.0,32.5,,2026-01-27T01:16:12.286958+00:00,down,6.5,0.06280193236714976,1.5329021806540153,below,True,0,384,True,False,1.6433281141424934
TXFB6,2026-01-28,TXFB6->TMFB6,2026-01-28T00:45:00+00:00,2026-01-28T01:15:00+00:00,2026-01-28T00:30:05.063724+00:00,2026-01-28T20:59:54.267265+00:00,ok,32765.0,32686.5,78.5,32827.5,32671.0,62.5,15.5,2026-01-28T01:15:00.757625+00:00,2026-01-28T01:39:19.957636+00:00,up,14.5,0.18471337579617833,2.7742623393271897,above,True,1009,45,True,True,1.9292912274150886
TXFB6,2026-01-29,TXFB6->TMFB6,2026-01-29T00:45:00+00:00,2026-01-29T01:15:00+00:00,2026-01-29T00:30:05.042716+00:00,2026-01-29T20:59:56.722971+00:00,ok,33002.5,32904.5,98.0,32937.5,32615.5,0.0,289.0,,2026-01-29T01:16:35.380064+00:00,down,1.0,0.01020408163265306,0.1624638727284687,below,False,0,1597,False,True,1.1627104869431593
TXFB6,2026-01-30,TXFB6->TMFB6,2026-01-30T00:45:00+00:00,2026-01-30T01:15:00+00:00,2026-01-30T00:30:05.045108+00:00,2026-01-30T20:59:36.200598+00:00,ok,32521.5,32362.5,159.0,32432.5,32161.5,0.0,201.0,,2026-01-30T01:23:00.993202+00:00,down,18.0,0.11320754716981132,2.971104266201257,below,False,0,1258,False,True,1.0667826856086629
TXFB6,2026-02-03,TXFB6->TMFB6,2026-02-03T00:45:00+00:00,2026-02-03T01:15:00+00:00,2026-02-03T07:51:39.601547+00:00,2026-02-03T20:59:40.731905+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFB6,2026-02-04,TXFB6->TMFB6,2026-02-04T00:45:00+00:00,2026-02-04T01:15:00+00:00,2026-02-04T00:30:05.004612+00:00,2026-02-04T20:58:54.943789+00:00,ok,32190.0,32035.0,155.0,32320.5,32153.5,130.5,0.0,2026-02-04T01:21:46.083913+00:00,,up,1.5,0.00967741935483871,0.25655269847710205,above,False,1341,0,False,True,0.9701813089802721
TXFB6,2026-02-05,TXFB6->TMFB6,2026-02-05T00:45:00+00:00,2026-02-05T01:15:00+00:00,2026-02-05T00:30:05.037311+00:00,2026-02-05T05:44:53.004921+00:00,ok,32140.5,31977.5,163.0,32153.5,32040.5,13.0,0.0,2026-02-05T01:18:17.645550+00:00,,up,5.0,0.03067484662576687,0.8015779220216515,above,True,544,0,False,False,1.0335144271416126
TXFB6,2026-02-06,TXFB6->TMFB6,2026-02-06T00:45:00+00:00,2026-02-06T01:15:00+00:00,2026-02-06T11:19:06.501583+00:00,2026-02-06T20:58:00.944868+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFB6,2026-02-23,TXFB6->TMFB6,2026-02-23T00:45:00+00:00,2026-02-23T01:15:00+00:00,2026-02-23T00:30:05.008274+00:00,2026-02-23T05:14:41.533977+00:00,ok,34306.5,34048.5,258.0,34266.5,34074.5,0.0,0.0,,,none,0.0,0.0,0.0,not_evaluated,False,0,0,False,False,0.7419671115804917
