# step,event,level,size
2,limit_ask,1,6
3,limit_bid,1,2
5,limit_bid,0,5
6,cancel_bid,4,7
22,cancel_ask,6,3
23,limit_bid,0,3
29,limit_ask,0,2
31,limit_ask,0,3
35,limit_ask,1,2
36,cancel_bid,2,3
37,cancel_ask,7,4
40,limit_ask,0,3
42,limit_ask,0,4
45,cancel_ask,2,7
46,limit_ask,2,2
46,cancel_bid,1,5
47,limit_bid,0,8
47,limit_ask,4,3
53,cancel_bid,1,2
59,cancel_ask,8,5
60,limit_bid,0,3
65,limit_bid,4,5
69,limit_ask,3,3
69,cancel_bid,9,4
73,limit_bid,1,3
76,limit_ask,1,2
77,cancel_ask,9,5
81,limit_bid,4,6
81,cancel_bid,9,3
84,limit_bid,2,2
86,limit_bid,0,8
88,cancel_ask,0,2
90,cancel_bid,6,5
91,limit_ask,2,7
100,cancel_bid,7,5
105,cancel_ask,2,5
105,cancel_ask,6,3
107,cancel_ask,8,8
110,limit_ask,1,7
115,limit_ask,1,3
116,cancel_bid,2,6
117,limit_ask,0,5
118,cancel_bid,7,5
119,limit_ask,3,2
120,cancel_bid,7,3
120,cancel_bid,0,2
121,cancel_bid,7,8
121,cancel_ask,4,3
122,limit_bid,0,5
130,cancel_bid,0,6
131,limit_bid,0,10
131,cancel_ask,0,6
133,limit_ask,5,1
134,limit_ask,2,3
137,cancel_bid,8,3
139,limit_bid,0,1
139,cancel_ask,0,2
147,limit_bid,0,4
148,limit_bid,2,7
151,cancel_bid,9,7
156,limit_bid,0,4
157,limit_bid,5,4
157,cancel_bid,4,2
162,cancel_bid,0,3
164,cancel_ask,1,2
167,cancel_bid,0,9
168,cancel_bid,8,4
170,limit_ask,1,4
171,cancel_ask,0,4
174,limit_ask,0,4
175,cancel_bid,0,8
175,cancel_ask,4,1
175,cancel_ask,8,2
179,limit_ask,4,3
179,cancel_bid,3,5
182,limit_ask,1,4
184,limit_bid,0,7
184,limit_ask,0,4
186,cancel_bid,4,5
187,limit_bid,2,4
188,cancel_bid,0,2
190,cancel_ask,6,7
191,cancel_ask,1,6
193,limit_ask,6,10
195,limit_ask,1,6
200,limit_ask,7,1
201,cancel_ask,6,5
203,limit_bid,2,3
204,limit_ask,3,4
204,cancel_ask,4,2
209,cancel_bid,3,18
210,limit_bid,5,3
210,limit_bid,0,2
212,cancel_bid,6,7
212,cancel_bid,2,7
216,limit_bid,0,5
216,limit_ask,0,3
224,limit_bid,4,9
