# step,event,level,size
1,market_sell,0,11
2,market_buy,0,6
3,limit_bid,0,12
12,limit_bid,0,7
12,cancel_ask,8,9
14,market_sell,0,10
18,cancel_ask,9,10
21,market_sell,0,4
24,market_buy,0,5
25,limit_ask,0,11
33,market_buy,0,11
35,cancel_ask,5,12
36,market_sell,0,10
42,cancel_bid,1,7
42,cancel_ask,4,12
48,market_buy,0,6
49,limit_ask,6,10
58,market_sell,0,7
58,market_sell,0,11
67,cancel_ask,8,15
68,market_buy,0,8
68,market_sell,0,9
73,limit_bid,1,6
73,market_buy,0,8
77,cancel_bid,2,7
78,limit_bid,0,4
87,limit_ask,0,4
90,cancel_bid,9,10
90,market_buy,0,14
92,cancel_ask,9,11
94,limit_ask,2,9
95,cancel_ask,8,7
96,limit_ask,3,10
104,cancel_ask,2,6
105,cancel_ask,2,10
106,cancel_ask,1,12
108,limit_ask,3,11
112,cancel_bid,9,10
114,cancel_bid,4,10
116,cancel_bid,9,8
118,limit_ask,1,11
118,limit_ask,5,6
118,market_buy,0,2
123,market_sell,0,12
133,market_buy,0,13
143,market_buy,0,11
148,cancel_ask,6,7
151,market_buy,0,13
152,limit_ask,1,7
153,cancel_bid,1,7
153,market_sell,0,9
157,limit_ask,0,8
159,cancel_ask,5,10
160,limit_ask,3,7
165,market_sell,0,7
167,cancel_ask,3,8
170,cancel_ask,3,6
171,limit_ask,1,11
182,cancel_bid,5,12
182,market_buy,0,9
185,market_sell,0,12
186,limit_bid,0,6
197,limit_bid,3,6
199,market_buy,0,13
200,limit_ask,1,8
200,limit_ask,4,6
205,limit_bid,1,9
208,cancel_bid,2,11
208,market_buy,0,11
208,market_sell,0,11
210,market_sell,0,7
216,cancel_ask,2,7
217,limit_bid,0,14
222,market_sell,0,6
225,market_sell,0,13
226,limit_bid,2,6
230,limit_bid,2,8
230,limit_ask,0,9
231,market_buy,0,9
233,market_sell,0,7
236,limit_bid,9,10
240,limit_bid,0,7
241,market_sell,0,9
242,market_buy,0,12
246,limit_bid,2,8
249,limit_bid,0,12
250,market_sell,0,6
253,market_buy,0,9
261,limit_ask,1,9
266,market_buy,0,6
267,cancel_ask,6,8
269,market_buy,0,10
272,market_sell,0,7
275,limit_ask,0,9
278,limit_ask,1,8
283,market_buy,0,11
284,cancel_ask,8,7
292,market_sell,0,9
295,limit_ask,3,7
298,market_buy,0,12
307,market_sell,0,10
308,limit_bid,0,7
308,cancel_bid,7,5
311,cancel_ask,3,11
312,market_sell,0,9
317,cancel_bid,7,6
322,limit_bid,5,14
325,cancel_ask,9,9
327,cancel_bid,4,12
333,limit_ask,4,2
335,cancel_ask,6,9
335,cancel_ask,2,6
345,limit_bid,0,11
348,cancel_ask,7,7
351,limit_ask,0,6
363,market_sell,0,13
370,cancel_bid,4,4
373,limit_bid,3,6
374,limit_ask,1,16
378,limit_bid,3,8
378,limit_ask,4,4
378,limit_ask,0,11
379,cancel_bid,4,16
384,cancel_bid,3,5
387,limit_ask,1,10
396,cancel_ask,5,6
399,cancel_bid,8,17
400,limit_bid,4,8
402,cancel_ask,1,16
403,market_sell,0,6
412,cancel_bid,4,10
415,cancel_bid,5,11
426,limit_bid,1,6
426,market_buy,0,8
429,cancel_bid,1,6
429,cancel_bid,6,7
429,cancel_bid,9,6
436,cancel_bid,6,9
436,market_buy,0,6
444,cancel_ask,7,10
450,limit_ask,9,10
450,cancel_bid,2,8
454,cancel_ask,4,9
459,cancel_bid,7,11
459,cancel_ask,4,6
460,market_sell,0,4
462,cancel_bid,5,7
468,limit_bid,2,10
469,limit_bid,0,7
482,limit_ask,2,8
483,cancel_bid,2,14
484,market_buy,0,8
491,cancel_ask,9,6
493,limit_ask,3,7
495,cancel_ask,9,10
496,market_buy,0,10
