# step,event,level,size
1,market_sell,0,11
2,market_buy,0,6
3,limit_bid,0,12
12,limit_bid,0,7
12,cancel_ask,8,9
14,limit_bid,3,9
17,limit_ask,3,8
18,limit_ask,0,9
20,cancel_bid,1,10
21,limit_ask,0,6
22,limit_ask,0,14
22,cancel_bid,2,7
23,cancel_bid,0,4
27,limit_bid,3,9
27,cancel_ask,4,8
28,limit_bid,3,10
29,cancel_bid,7,9
29,cancel_ask,4,8
32,limit_bid,1,11
34,limit_bid,9,6
34,cancel_bid,1,6
36,limit_ask,0,12
38,limit_ask,6,10
48,limit_bid,0,10
54,limit_ask,0,7
55,limit_bid,2,18
57,limit_bid,6,5
57,limit_ask,2,10
61,cancel_bid,9,8
63,limit_bid,5,10
64,market_sell,0,11
65,limit_bid,0,4
74,limit_ask,0,4
76,limit_ask,1,3
77,limit_bid,0,6
79,market_sell,0,6
80,limit_bid,5,11
80,cancel_ask,8,6
81,limit_bid,2,9
82,cancel_bid,2,6
83,limit_ask,3,10
86,cancel_ask,1,11
87,cancel_bid,5,8
90,limit_bid,0,10
91,limit_bid,1,13
92,limit_ask,1,12
92,cancel_bid,0,7
94,cancel_bid,5,7
97,limit_bid,1,10
97,cancel_bid,0,9
98,cancel_ask,7,9
99,cancel_bid,3,10
99,cancel_bid,7,8
99,market_sell,0,2
104,market_sell,0,12
109,limit_bid,2,5
109,cancel_bid,1,7
110,cancel_bid,1,12
111,limit_bid,0,11
111,cancel_bid,3,9
113,cancel_bid,3,4
117,limit_bid,3,11
117,limit_bid,0,8
119,cancel_ask,5,9
119,market_sell,0,8
120,cancel_ask,0,13
121,market_buy,0,6
122,cancel_bid,9,7
123,cancel_ask,7,11
125,cancel_bid,4,9
126,limit_ask,3,15
126,cancel_bid,6,7
127,limit_bid,2,7
132,limit_bid,3,4
132,cancel_ask,3,13
133,cancel_bid,2,9
134,limit_bid,1,8
134,market_sell,0,7
136,market_buy,0,8
137,cancel_ask,2,7
140,cancel_ask,4,10
141,limit_ask,3,14
142,limit_bid,4,6
148,limit_ask,0,6
148,cancel_bid,7,12
155,limit_bid,1,9
157,limit_bid,0,14
158,limit_ask,9,13
163,cancel_bid,6,8
167,limit_ask,8,11
167,cancel_bid,0,11
167,cancel_ask,9,12
170,limit_bid,2,6
174,cancel_bid,7,8
175,limit_bid,0,6
175,market_sell,0,13
180,limit_ask,1,6
180,market_buy,0,4
182,market_sell,0,13
183,limit_bid,2,6
187,limit_bid,2,8
187,limit_ask,0,9
188,market_buy,0,9
189,cancel_bid,5,9
192,cancel_ask,0,10
196,cancel_ask,2,4
197,limit_ask,1,9
198,cancel_ask,0,10
203,limit_bid,2,8
206,limit_bid,0,12
207,cancel_ask,3,6
207,market_buy,0,8
209,limit_bid,1,11
209,market_buy,0,8
214,cancel_ask,8,10
215,limit_ask,0,7
217,limit_bid,0,8
218,market_buy,0,8
221,limit_bid,2,6
224,limit_bid,3,6
224,cancel_bid,8,15
226,limit_bid,0,19
228,limit_ask,1,12
230,cancel_bid,2,13
231,market_sell,0,10
232,limit_bid,0,10
235,cancel_bid,3,11
238,cancel_ask,3,8
241,limit_ask,1,12
241,market_sell,0,7
243,cancel_ask,3,7
244,limit_ask,0,5
246,limit_ask,9,8
246,market_buy,0,11
248,limit_bid,2,10
249,cancel_bid,2,11
250,cancel_bid,3,9
250,cancel_ask,8,9
253,limit_ask,0,10
254,limit_ask,1,9
255,cancel_bid,4,13
259,limit_bid,0,8
259,cancel_ask,4,10
260,limit_ask,2,9
260,cancel_bid,5,7
262,limit_bid,3,10
264,cancel_ask,6,8
264,market_buy,0,7
265,limit_ask,3,5
267,limit_ask,0,4
267,cancel_bid,5,6
271,limit_bid,0,11
274,limit_ask,3,6
274,cancel_bid,1,6
276,limit_bid,0,5
277,cancel_bid,0,5
279,cancel_ask,2,9
285,cancel_ask,8,12
286,limit_ask,4,10
290,cancel_bid,2,4
293,limit_bid,0,12
293,limit_ask,1,16
297,limit_bid,1,7
297,limit_ask,4,4
297,limit_ask,0,11
297,limit_ask,1,13
298,cancel_ask,3,10
298,market_buy,0,12
299,market_sell,0,9
301,limit_ask,7,11
302,limit_bid,3,6
305,limit_ask,1,8
305,cancel_ask,7,7
309,limit_bid,2,22
310,limit_bid,3,8
310,market_buy,0,9
311,cancel_bid,0,16
311,cancel_ask,7,10
318,limit_bid,1,12
323,cancel_bid,2,11
324,cancel_ask,1,13
331,cancel_ask,9,7
331,cancel_ask,2,7
334,market_buy,0,4
334,market_buy,0,9
334,market_buy,0,7
337,limit_bid,1,9
337,cancel_ask,9,10
338,cancel_ask,1,10
338,market_sell,0,6
340,limit_bid,4,10
341,limit_ask,0,15
342,cancel_ask,3,9
345,limit_ask,4,6
346,limit_ask,9,10
346,cancel_bid,0,8
347,limit_bid,3,7
349,limit_bid,4,8
354,limit_bid,1,12
354,limit_ask,2,4
355,limit_bid,2,11
355,limit_ask,0,9
355,cancel_bid,3,11
356,cancel_bid,0,3
356,cancel_ask,7,11
359,limit_bid,0,7
360,limit_bid,5,10
363,limit_bid,3,3
366,limit_bid,0,7
367,market_sell,0,8
368,cancel_bid,9,8
369,cancel_bid,7,9
373,limit_bid,0,12
375,market_buy,0,8
377,limit_ask,3,7
379,cancel_ask,9,10
380,cancel_ask,7,9
380,cancel_ask,1,11
383,market_sell,0,7
385,limit_ask,0,6
387,limit_bid,4,14
387,cancel_ask,2,5
392,limit_ask,0,5
394,cancel_bid,3,12
394,market_buy,0,3
395,market_sell,0,9
396,limit_ask,3,8
400,cancel_ask,6,4
409,cancel_ask,1,12
410,limit_bid,6,12
413,market_sell,0,12
419,limit_ask,2,9
426,market_sell,0,9
428,cancel_bid,3,9
430,cancel_ask,2,10
433,limit_bid,1,8
436,limit_bid,2,5
437,market_buy,0,11
441,cancel_ask,3,6
442,limit_ask,1,5
442,market_sell,0,5
444,limit_bid,1,8
448,cancel_ask,6,12
450,market_sell,0,7
451,limit_ask,0,8
453,limit_bid,1,10
455,cancel_ask,2,12
456,limit_bid,0,8
457,cancel_bid,2,7
457,market_buy,0,8
459,limit_bid,6,13
460,limit_bid,4,5
460,market_sell,0,8
463,limit_bid,9,2
464,cancel_ask,6,9
467,market_buy,0,9
468,limit_ask,4,5
469,limit_bid,2,7
469,market_sell,0,8
470,limit_bid,0,14
488,limit_ask,0,7
489,cancel_ask,6,9
492,limit_ask,2,10
492,cancel_bid,2,8
493,limit_ask,1,9
493,cancel_bid,5,14
